timestamp;lat;lon;alt
751992310;469459285;87116229;1569493
752500125;469458938;87115146;1569427
752987142;469458677;87114010;1569360
753497130;469458504;87112835;1569260
753991366;469458422;87111638;1569173
754500017;469458431;87110434;1569059
754992008;469458536;87109235;1568993
755498246;469458738;87108061;1568945
755983595;469459035;87106930;1568902
756496221;469459422;87105856;1568835
756991250;469459896;87104855;1568787
757497995;469460449;87103939;1568749
757991292;469461077;87103121;1568719
758499424;469461771;87102410;1568682
758989140;469462524;87101823;1568723
759496450;469463324;87101365;1568710
759991005;469464160;87101052;1568749
760494133;469465017;87100889;1568821
760990566;469465885;87100878;1568865
761497506;469466752;87101024;1568864
761990285;469467603;87101327;1568870
762498206;469468424;87101778;1568879
762991004;469469200;87102378;1568987
763493848;469469924;87103108;1569066
763991279;469470588;87103964;1569033
764499141;469471175;87104938;1568923
764985046;469471671;87106019;1568784
765494852;469472062;87107193;1568708
765990224;469472342;87108436;1568684
766498894;469472514;87109721;1568649
766991517;469472579;87111029;1568677
767497131;469472540;87112341;1568702
767989135;469472390;87113638;1568733
768495144;469472135;87114898;1568650
768990412;469471770;87116097;1568615
769492134;469471299;87117209;1568739
769987140;469470737;87118213;1568916
770499845;469470109;87119101;1569085
770990904;469469421;87119871;1569253
771494268;469468682;87120511;1569412
771990372;469467903;87121010;1569481
772495140;469467095;87121361;1569545
772992059;469466269;87121566;1569596
773499400;469465434;87121623;1569688
773986510;469464601;87121544;1569668
774496490;469463781;87121323;1569569
774988149;469462987;87120959;1569427
775495050;469462229;87120461;1569314
775991302;469461519;87119839;1569246
776500136;469460865;87119103;1569216
776989206;469460274;87118265;1569178
777494512;469459757;87117332;1569100
777991243;469459319;87116319;1568969
778495135;469458962;87115239;1568863
778991269;469458689;87114105;1568774
779497140;469458504;87112932;1568691
779992369;469458414;87111734;1568617
780497140;469458419;87110532;1568550
780991472;469458521;87109339;1568487
781497133;469458718;87108174;1568441
781988722;469459005;87107051;1568398
782500896;469459381;87105984;1568367
782987284;469459840;87104984;1568351
783499600;469460378;87104064;1568396
783991457;469460988;87103233;1568435
784497138;469461664;87102504;1568449
784992787;469462398;87101885;1568427
785498317;469463184;87101392;1568392
785990262;469464012;87101038;1568320
786497032;469464872;87100836;1568216
786991414;469465751;87100801;1568146
787493677;469466631;87100939;1568133
787991244;469467494;87101242;1568176
788500318;469468325;87101697;1568176
788988067;469469112;87102299;1568155
789496139;469469842;87103039;1568160
789992130;469470500;87103912;1568306
790496416;469471085;87104893;1568486
790991281;469471589;87105965;1568559
791497130;469471999;87107117;1568487
791983999;469472303;87108332;1568354
792499937;469472494;87109592;1568244
792992794;469472570;87110874;1568186
793498138;469472540;87112157;1568128
793992120;469472404;87113424;1568065
794501416;469472167;87114656;1567981
794992213;469471831;87115834;1567949
795499138;469471402;87116944;1567898
795988143;469470884;87117967;1567853
796497500;469470285;87118882;1567835
796989907;469469613;87119674;1567856
797499133;469468883;87120332;1567966
797991307;469468110;87120855;1568034
798498172;469467307;87121236;1568024
798992292;469466480;87121479;1567990
799499130;469465644;87121579;1567923
799992132;469464809;87121532;1567940
800499253;469463988;87121346;1567971
800985145;469463193;87121020;1568013
801496021;469462435;87120558;1568223
801992771;469461720;87119985;1568300
802497346;469461056;87119301;1568352
802992132;469460449;87118518;1568311
803499132;469459905;87117639;1568235
803988582;469459434;87116675;1568105
804501281;469459045;87115633;1568032
804992129;469458742;87114528;1567904
805494133;469458534;87113376;1567815
805993206;469458420;87112195;1567753
806502287;469458401;87111003;1567750
806992129;469458477;87109817;1567772
807499142;469458635;87108642;1567723
807991502;469458873;87107486;1567704
808497844;469459192;87106359;1567727
808992555;469459593;87105277;1567745
809499894;469460076;87104259;1567673
809987177;469460647;87103327;1567547
810501441;469461306;87102505;1567441
810991257;469462047;87101818;1567468
811498323;469462850;87101279;1567585
811993132;469463698;87100898;1567747
812500141;469464570;87100674;1567876
812991850;469465454;87100602;1567954
813499128;469466339;87100686;1567982
813992128;469467216;87100923;1567970
814496132;469468072;87101317;1567967
814992133;469468892;87101861;1567934
815499861;469469664;87102554;1567888
815991608;469470373;87103387;1567820
