timestamp;timestamp_sample;time_utc_usec;device_id;lat;lon;alt;alt_ellipsoid;s_variance_m_s;c_variance_rad;eph;epv;hdop;vdop;noise_per_ms;jamming_indicator;vel_m_s;vel_n_m_s;vel_e_m_s;vel_d_m_s;cog_rad;timestamp_time_relative;heading;heading_offset;heading_accuracy;rtcm_injection_rate;automatic_gain_control;fix_type;jamming_state;vel_ned_valid;satellites_used;selected_rtcm_instance
666494129;0;1,68216E+15;11141125;469475368;87125669;1522189;1569507;0.141;0.5762374;0.27800003;0.528;0.57;0.96999997;61;3;0.128;0.068;-0.108;-2.0740001;5.319394;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
666986131;0;1,68216E+15;11141125;469475371;87125663;1522724;1570042;0.14;0.58278865;0.279;0.52900004;0.57;0.96999997;61;4;0.125;0.09;-0.087000005;-0.47700003;5.376865;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
667488945;0;1,68216E+15;11141125;469475376;87125660;1522761;1570079;0.105000004;0.47884154;0.28;0.531;0.57;0.96999997;61;4;0.16800001;0.157;-0.060000002;-0.078;5.901183;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
667986128;0;1,68216E+15;11141125;469475380;87125663;1522843;1570161;0.143;0.4788918;0.28100002;0.53300005;0.57;0.96999997;61;4;0.071;0.0;0.071;-0.619;5.901183;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
668494192;0;1,68216E+15;11141125;469475377;87125670;1523405;1570722;0.14;0.47787896;0.282;0.535;0.57;0.96999997;61;4;0.15200001;-0.132;0.075;-1.996;2.4631538;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
668987369;0;1,68216E+15;11141125;469475366;87125676;1524632;1571949;0.14;0.2970273;0.28300002;0.536;0.57;0.96999997;61;4;0.27;-0.26500002;0.051000003;-2.9480002;2.9102557;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
669494227;0;1,68216E+15;11141125;469475357;87125680;1526077;1573395;0.142;0.51052344;0.284;0.53800005;0.57;0.96999997;61;4;0.17300001;-0.171;-0.026;-2.9420002;3.1095715;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
669986941;0;1,68216E+15;11141125;469475353;87125678;1527500;1574817;0.14400001;0.5109217;0.28500003;0.54;0.57;0.96999997;61;4;0.083000004;-0.003;-0.083000004;-2.9720001;3.1095715;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
670490919;0;1,68216E+15;11141125;469475355;87125671;1528941;1576259;0.14400001;0.5388303;0.286;0.54200006;0.57;0.96999997;61;4;0.147;0.058000002;-0.135;-3.062;5.0566263;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
670988264;0;1,68216E+15;11141125;469475358;87125663;1530383;1577701;0.14500001;0.43945906;0.287;0.544;0.57;0.96999997;61;3;0.08400001;0.048;-0.069000006;-2.9950001;5.270596;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
671493491;0;1,68216E+15;11141125;469475363;87125660;1531822;1579139;0.14400001;0.61612093;0.28800002;0.546;0.57;0.96999997;61;3;0.081;0.068;-0.045;-3.028;5.5165453;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
671985790;0;1,68216E+15;11141125;469475365;87125659;1533276;1580594;0.147;0.7060358;0.289;0.54800004;0.57;0.96999997;61;3;0.021000002;-0.021000002;-0.004;-3.0030003;5.78188;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
672494846;0;1,68216E+15;11141125;469475365;87125659;1534749;1582067;0.147;0.70633614;0.29000002;0.55;0.57;0.96999997;61;3;0.039;0.015000001;-0.036000002;-3.111;5.78188;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
672984712;0;1,68216E+15;11141125;469475363;87125657;1536259;1583577;0.15;0.70664;0.291;0.55300003;0.57;0.96999997;62;3;0.081;-0.051000003;-0.063;-3.127;5.78188;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
673492135;0;1,68216E+15;11141125;469475362;87125655;1537754;1585072;0.14600001;0.7069425;0.29200003;0.555;0.57;0.96999997;62;3;0.030000001;-0.028;-0.011000001;-3.1290002;5.78188;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
673986134;0;1,68216E+15;11141125;469475363;87125654;1539251;1586569;0.148;0.7072433;0.293;0.558;0.57;0.96999997;62;3;0.038000003;0.019000001;-0.033;-3.094;5.78188;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
674492141;0;1,68216E+15;11141125;469475364;87125653;1540733;1588051;0.15;0.7075412;0.29500002;0.56;0.57;0.96999997;62;3;0.021000002;0.014;-0.017;-3.0790002;5.78188;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
674984002;0;1,68216E+15;11141125;469475364;87125653;1542202;1589520;0.15;0.7078352;0.296;0.56200004;0.57;0.96999997;62;4;0.037;0.026;0.027;-3.045;5.78188;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
675493555;0;1,68216E+15;11141125;469475365;87125654;1543675;1590992;0.148;0.70813155;0.29700002;0.565;0.57;0.96999997;62;4;0.07700001;0.052;-0.057000004;-3.051;5.78188;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
675987172;0;1,68216E+15;11141125;469475367;87125652;1545155;1592472;0.14500001;0.70843;0.298;0.56600004;0.57;0.96999997;62;3;0.089;0.075;-0.049000002;-3.0530002;5.78188;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
