timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
659104026,659102221,46.947536572550035,8.712562434109794,1505.1487,1552.3315,0.0,0.72010064,2.3197343,nan,2,52,0,0
659303900,659302089,46.94753664806273,8.712562484350576,1505.4316,1552.6102,0.0,0.72010994,2.319733,nan,2,72,0,0
659503944,659501956,46.94753678780126,8.71256248671861,1505.7107,1552.8846,0.0,0.72011435,2.3197315,nan,2,92,0,0
659703249,659701823,46.947536953955726,8.712562500148652,1505.9889,1553.159,0.0,0.7201249,2.3197322,nan,2,112,0,0
659903451,659901691,46.94753715683092,8.712562569089847,1506.272,1553.4379,0.0,0.7201202,2.3197308,nan,2,131,0,0
660103504,660101558,46.94753736262218,8.712562657567064,1506.5547,1553.7163,0.0,0.7201124,2.3197298,nan,2,151,0,0
660303175,660301426,46.94753751028553,8.712562723210443,1506.8373,1553.995,0.0,0.72010213,2.3197286,nan,2,171,0,0
660502586,660501293,46.94753764755405,8.712562824653123,1507.1221,1554.2777,0.0,0.721739,2.3201,nan,2,191,0,0
660702895,660701160,46.947537725142304,8.712562931567215,1507.4098,1554.5599,0.0,0.7200669,2.3197248,nan,2,211,0,0
660902690,660901028,46.9475377651565,8.71256304945544,1507.6962,1554.8429,0.0,0.720054,2.3197238,nan,2,231,0,0
661102717,661100895,46.94753781697637,8.712563181822922,1507.9836,1555.1268,0.0,0.7200408,2.3197231,nan,2,251,0,0
661302487,661300762,46.94753788965884,8.712563325371772,1508.2794,1555.4192,0.0,0.72002757,2.3197224,nan,2,15,0,0
661502545,661500630,46.947538017437374,8.712563454874724,1508.6223,1555.758,0.0,0.72001547,2.319722,nan,2,35,0,0
661702480,661700497,46.94753816939765,8.712563656057894,1509.046,1556.1771,0.0,0.720008,2.3197212,nan,2,55,0,0
661902160,661900365,46.9475382987458,8.712563969199453,1509.563,1556.6887,0.0,0.72000766,2.3197207,nan,2,75,0,0
662102023,662100233,46.9475383300463,8.712564353889448,1510.138,1557.2582,0.0,0.7200147,2.3197203,nan,2,95,0,0
662301894,662300100,46.947538202894094,8.712564687051005,1510.7307,1557.8456,0.0,0.7200236,2.3197198,nan,2,115,0,0
662501403,662499969,46.94753795185714,8.712564899372031,1511.3142,1558.4268,0.0,0.72169155,2.3200927,nan,2,135,0,0
662701657,662699835,46.94753761586033,8.712564957603561,1511.8895,1558.9939,0.0,0.72003347,2.3197186,nan,2,155,0,0
662901597,662899703,46.94753724111434,8.712564847781374,1512.4663,1559.5653,0.0,0.7200343,2.3197181,nan,2,174,0,0
663101015,663099570,46.947536867101604,8.712564631591519,1513.0448,1560.1412,0.0,0.7216776,2.3200886,nan,2,194,0,0
663301281,663299438,46.947536541761046,8.712564360110276,1513.6224,1560.711,0.0,0.72002316,2.3197155,nan,2,214,0,0
663500776,663499305,46.94753629737929,8.712564085362473,1514.201,1561.287,0.0,0.7216581,2.3200858,nan,2,234,0,0
663701164,663699173,46.94753616635016,8.712563830596569,1514.7804,1561.8586,0.0,0.72000885,2.319713,nan,2,254,0,0
663901017,663899041,46.947536142455654,8.712563627246086,1515.3604,1562.4336,0.0,0.7200057,2.319713,nan,2,18,0,0
664100924,664098908,46.94753621114986,8.712563496693877,1515.9395,1563.0077,0.0,0.72000206,2.319713,nan,2,37,0,0
